Module_ID,Module_Number,Module_Color,Module_Type,Total_Genes,Annotated_Genes,Annotation_Rate
Module_00,00,grey,unassigned,1609,1609,100
Module_01,01,turquoise,assigned,5370,5370,100
Module_02,02,blue,assigned,4782,4782,100
Module_03,03,brown,assigned,4343,4343,100
Module_04,04,yellow,assigned,1922,1922,100
Module_05,05,green,assigned,1299,1299,100
Module_06,06,red,assigned,1297,1297,100
Module_07,07,black,assigned,1220,1220,100
Module_08,08,pink,assigned,1132,1132,100
Module_09,09,magenta,assigned,1006,1006,100
Module_10,10,purple,assigned,856,856,100
Module_11,11,greenyellow,assigned,699,699,100
Module_12,12,tan,assigned,509,509,100
Module_13,13,salmon,assigned,505,505,100
Module_14,14,cyan,assigned,421,421,100
Module_15,15,midnightblue,assigned,413,413,100
Module_16,16,lightcyan,assigned,401,401,100
Module_17,17,grey60,assigned,384,384,100
Module_18,18,lightgreen,assigned,323,323,100
Module_19,19,lightyellow,assigned,320,320,100
Module_20,20,royalblue,assigned,285,285,100
Module_21,21,darkred,assigned,267,267,100
Module_22,22,darkgreen,assigned,260,260,100
Module_23,23,darkturquoise,assigned,253,253,100
Module_24,24,darkgrey,assigned,240,240,100
Module_25,25,orange,assigned,238,238,100
Module_26,26,darkorange,assigned,230,230,100
Module_27,27,white,assigned,212,212,100
Module_28,28,skyblue,assigned,211,211,100
Module_29,29,saddlebrown,assigned,202,202,100
Module_30,30,steelblue,assigned,191,191,100
Module_31,31,paleturquoise,assigned,182,182,100
Module_32,32,violet,assigned,179,179,100
Module_33,33,darkolivegreen,assigned,174,174,100
Module_34,34,darkmagenta,assigned,169,169,100
Module_35,35,sienna3,assigned,163,163,100
Module_36,36,yellowgreen,assigned,160,160,100
Module_37,37,skyblue3,assigned,152,152,100
Module_38,38,plum1,assigned,147,147,100
Module_39,39,orangered4,assigned,141,141,100
Module_40,40,mediumpurple3,assigned,139,139,100
Module_41,41,lightsteelblue1,assigned,138,138,100
Module_42,42,lightcyan1,assigned,126,126,100
Module_43,43,ivory,assigned,125,125,100
Module_44,44,floralwhite,assigned,121,121,100
Module_45,45,darkorange2,assigned,117,117,100
Module_46,46,brown4,assigned,113,113,100
Module_47,47,bisque4,assigned,110,110,100
Module_48,48,darkslateblue,assigned,108,108,100
Module_49,49,plum2,assigned,108,108,100
Module_50,50,thistle2,assigned,105,105,100
Module_51,51,thistle1,assigned,96,96,100
Module_52,52,salmon4,assigned,95,95,100
Module_53,53,navajowhite2,assigned,94,94,100
Module_54,54,palevioletred3,assigned,94,94,100
Module_55,55,maroon,assigned,93,93,100
Module_56,56,lightpink4,assigned,92,92,100
Module_57,57,honeydew1,assigned,90,90,100
Module_58,58,lavenderblush3,assigned,90,90,100
Module_59,59,darkseagreen4,assigned,89,89,100
Module_60,60,antiquewhite4,assigned,86,86,100
Module_61,61,coral1,assigned,86,86,100
Module_62,62,coral2,assigned,86,86,100
Module_63,63,mediumorchid,assigned,83,83,100
Module_64,64,skyblue2,assigned,83,83,100
Module_65,65,yellow4,assigned,81,81,100
Module_66,66,skyblue1,assigned,80,80,100
Module_67,67,plum,assigned,79,79,100
Module_68,68,mediumpurple2,assigned,77,77,100
Module_69,69,orangered3,assigned,77,77,100
Module_70,70,lightcoral,assigned,76,76,100
Module_71,71,lightsteelblue,assigned,76,76,100
Module_72,72,indianred4,assigned,75,75,100
Module_73,73,firebrick4,assigned,74,74,100
Module_74,74,darkolivegreen4,assigned,72,72,100
Module_75,75,brown2,assigned,71,71,100
Module_76,76,blue2,assigned,69,69,100
Module_77,77,darkviolet,assigned,67,67,100
Module_78,78,plum3,assigned,66,66,100
Module_79,79,magenta4,assigned,65,65,100
Module_80,80,navajowhite1,assigned,65,65,100
Module_81,81,palevioletred2,assigned,65,65,100
Module_82,82,salmon2,assigned,65,65,100
Module_83,83,thistle,assigned,65,65,100
Module_84,84,thistle3,assigned,65,65,100
Module_85,85,lavenderblush2,assigned,64,64,100
Module_86,86,lightpink3,assigned,64,64,100
Module_87,87,antiquewhite2,assigned,62,62,100
Module_88,88,coral,assigned,62,62,100
Module_89,89,darkseagreen3,assigned,62,62,100
Module_90,90,honeydew,assigned,62,62,100
Module_91,91,coral3,assigned,61,61,100
Module_92,92,mediumpurple4,assigned,61,61,100
Module_93,93,skyblue4,assigned,61,61,100
Module_94,94,yellow3,assigned,59,59,100
Module_95,95,sienna4,assigned,55,55,100
Module_96,96,orangered1,assigned,54,54,100
Module_97,97,pink4,assigned,54,54,100
Module_98,98,lightslateblue,assigned,53,53,100
Module_99,99,mediumpurple1,assigned,53,53,100
Module_100,100,lightblue4,assigned,52,52,100
Module_101,101,blueviolet,assigned,51,51,100
Module_102,102,darkolivegreen2,assigned,51,51,100
Module_103,103,firebrick3,assigned,51,51,100
Module_104,104,indianred3,assigned,51,51,100
Module_105,105,blue4,assigned,50,50,100
Module_106,106,deeppink,assigned,48,48,100
Module_107,107,plum4,assigned,48,48,100
Module_108,108,tan4,assigned,47,47,100
Module_109,109,thistle4,assigned,47,47,100
Module_110,110,salmon1,assigned,45,45,100
Module_111,111,magenta3,assigned,44,44,100
Module_112,112,navajowhite,assigned,44,44,100
Module_113,113,palevioletred1,assigned,44,44,100
Module_114,114,lavenderblush1,assigned,43,43,100
Module_115,115,lightpink2,assigned,43,43,100
Module_116,116,antiquewhite1,assigned,42,42,100
Module_117,117,chocolate4,assigned,42,42,100
Module_118,118,darkseagreen2,assigned,42,42,100
Module_119,119,green4,assigned,42,42,100
Module_120,120,coral4,assigned,41,41,100
Module_121,121,mistyrose,assigned,41,41,100
Module_122,122,slateblue,assigned,40,40,100
Module_123,123,pink3,assigned,39,39,100
Module_124,124,sienna2,assigned,39,39,100
Module_125,125,yellow2,assigned,39,39,100
Module_126,126,orangered,assigned,38,38,100
Module_127,127,mediumpurple,assigned,36,36,100
Module_128,128,firebrick2,assigned,34,34,100
Module_129,129,indianred2,assigned,34,34,100
Module_130,130,lightblue3,assigned,34,34,100
Module_131,131,lightskyblue4,assigned,34,34,100
Module_132,132,darkolivegreen1,assigned,32,32,100
Module_133,133,blue3,assigned,31,31,100
Module_134,134,brown1,assigned,30,30,100
